person_assigned,double-checked by,rowID,speciesID,common_name,species,doc_type,sara_status,doc_citation,url,web_pub_date,year_published,status_appraisal_rapid_review,final,amendment,taxonomic_group,EOO,IAO,locations,endemic_NA,endemic_canada,continuous_USA,cosewic_status,ranges,cosewic_examined_date,date_of_listing,gic_decision,criteria_used_listing_1,criteria_used_listing_2,criteria_used_listing_3,criteria_used_listing_4,criteria_used_listing_5,1_notes_on_model,1_type_of_model_used,1_report_section_model _referenced,1_uncertainty_reported,1_type_uncertainty_reported,1_degree_of_uncertainty,1_reference,1_reference_type,1_rationale_reference,1_model_species_specific ,1_criteria_model_used_to_inform,1_model_used_listing_decision,1_rationale_model_used_listing_decision,2_notes_on_model,2_type_of_model_used,2_report_section_model _referenced,2_uncertainty_reported,2_type_uncertainty_reported,2_degree_of_uncertainty,2_reference,2_reference_type,2_rationale_reference,2_model_species_specific ,2_criteria_model_used_to_inform,2_model_used_listing_decision,2_rationale_model_used_listing_decision,3_notes_on_model,3_type_of_model_used,3_report_section_model _referenced,3_uncertainty_reported,3_type_uncertainty_reported,3_degree_of_uncertainty,3_reference,3_reference_type,3_rationale_reference,3_model_species_specific ,3_criteria_model_used_to_inform,3_model_used_listing_decision,3_rationale_model_used_listing_decision,4_notes_on_model,4_type_of_model_used,4_report_section_model _referenced,4_uncertainty_reported,4_type_uncertainty_reported,4_degree_of_uncertainty,4_reference,4_reference_type,4_rationale_reference,4_model_species_specific ,4_criteria_model_used_to_inform,4_model_used_listing_decision,4_rationale_model_used_listing_decision,was_model_mentioned_anywhere_else,were_multiple_models_mentioned_elsewhere,report_sections_additional_model_referenced,flag_for_group_discussion,flag_resolution
Aaliyah,Hossam,2,394,allegheny mountain dusky salamander appalachian population,Desmognathus ochrophaeus,COSEWIC Status Reports,Threatened,"COSEWIC. 2018. COSEWIC assessment and status report on the Allegheny Mountain Dusky Salamander Desmognathus ochrophaeus, Appalachian population and Carolinian population in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xvi + 95 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=allegheny%20mountain%20dusky%20salamander%20appalachian%20population,12/20/19,2018,0,1,0,Amphibians,56 km2,56 km2,1,1,0,0,Endangered,QC,4/1/18,6/5/03,NA,"B1ab(iii,v)+2ab(iii,v)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,THR,NA,NA
Caitlin,Hossam,735,9,rocky mountain tailed frog,Ascaphus montanus,COSEWIC Status Reports,Endangered,COSEWIC. 2013. COSEWIC assessment and status report on the Rocky Mountain Tailed Frog Ascaphus montanus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xii + 46 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=rocky%20mountain%20tailed%20frog,10/15/14,2013,0,1,0,Amphibians,3300,296,10,1,0,1,Threatened,BC,11/1/13,6/5/03,Downlist,C1+2a(i),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,THR,NA,NA
Diego,,888,20,coeur d'alene salamander,Plethodon idahoensis,COSEWIC Status Reports,Special Concern,COSEWIC. 2007. COSEWIC assessment and update status report on the Coeur dAlene Salamander Plethodon idahoensis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 21 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=coeur%20d%27alene%20salamander,8/28/08,2007,0,1,0,Amphibians,17000,100,56,1,0,1,Special Concern,BC,11/1/07,6/5/03,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,THR,NA,NA
Caitlin/Hossam,Jayme,815,67,western tiger salamander southern mountain population,Ambystoma mavortium,COSEWIC Status Reports,Endangered,COSEWIC. 2012. COSEWIC assessment and status report on the Western Tiger Salamander Ambystoma mavortium in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xv + 63 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=western%20tiger%20salamander%20southern%20mountain%20population,11/4/13,2012,0,1,0,Amphibians,5054,348,14,1,0,1,Endangered,BC,11/1/12,6/5/03,NA,"B1ab(ii,iii,v)c(iv)+2ab(ii,iii,v)c(iv)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,"THR, HAB, BIOL",NA,NA
Lucas,,1011,91,western tiger salamander prairie/boreal population,Ambystoma mavortium,COSEWIC Status Reports,Special Concern,COSEWIC. 2012. COSEWIC assessment and status report on the Western Tiger Salamander Ambystoma mavortium in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xv + 63 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=western%20tiger%20salamander%20prairie%20%2F%20boreal%20population,11/4/13,2012,0,1,0,Amphibians,567436,2388,500,1,0,1,Special Concern,AB SK MB,11/1/12,2/2/18,List,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,THR,NA ,NA
Aaliyah,Jayme,723,214,oregon spotted frog,Rana pretiosa,COSEWIC Status Reports,Endangered,COSEWIC. 2011. COSEWIC assessment and status report on the Oregon Spotted FrogRana pretiosa in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 47 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=oregon%20spotted%20frog,9/9/11,2011,0,1,0,Amphibians,303,40,4,1,0,0,Endangered,BC,5/1/11,6/5/03,NA,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",C2a(i),NA,NA,NA,"A population trend analysis for R. pretiosa in Canada from 1997 to 2007 was completed. The model estimates the most likely population outcome over time, assuming a simple exponential trend in population size (Bishop 2007). The inter-annual variation in population estimate was assumed to follow a negative binomial distribution. The probability of long-term (>2050) persistence of the population at Aldergrove was calculated as <1% (Bishop 2007). A population trend analysis for 1997 and 2009, conducted by B. Smith as described above for Aldergrove, indicated that there was a 17.2% probability of population extinction by 2015, a 32.5% probability of extinction by 2020, and that the population has an approximate 50% probability of continuing past 2050 (Smith pers. comm. 2009).",abundance,POP,N,NRP,NRP,"Bishop, C. 2007. Scientific assessment of the status of Oregon spotted frog in British Columbia. Unpublished report prepared for Environment Canada. 33 pp. Smith pers. comm. 2009",UNP,Unpublished report for Environemnt Canada,Y,"A,C",Y,Analysis shows decline in population and data collected since 2007 don't show population recovery in Aldergrove ,Simple extrapolation from egg-mass counts...,abundance,POP,N,NRP,NRP,NRP,NEW,"No reference provided, seems like the status report author did this analysis themself",Y,"A,C",Y,"Seems to be cited in Criterion A, when they say the magnitude of decline is uncertain; this is similar language to the paragraph describing the model. As for criterion C, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,"resolved- changing Y in column CI to ""NA"""
Aaliyah,Hossam,819,311,great basin spadefoot,Spea intermontana,COSEWIC Status Reports,Threatened,COSEWIC 2007. COSEWIC assessment and update status report on the Great Basin Spadefoot Spea intermontana in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 34 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=great%20basin%20spadefoot,8/29/07,2007,0,1,0,Amphibians,30770,864,235,1,0,1,Threatened,BC,4/1/07,6/5/03,NA,"B2ab(ii,iii)c(iv)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Aaliyah,Hossam,784,388,northern leopard frog rocky mountain population,Lithobates pipiens,COSEWIC Status Reports,Endangered,"COSEWIC. 2009. COSEWIC assessment and update status report on the Northern Leopard Frog Lithobates pipiens, Rocky Mountain population, Western Boreal/Prairie populations and Eastern populations, in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 69 pages (pp.)",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20leopard%20frog%20rocky%20mountain%20population,8/28/09,2009,0,1,0,Amphibians,322,268,1,1,0,1,Endangered,BC,4/1/09,6/5/03,NA,C2a(i),D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Hossam,Jayme,744,396,allegheny mountain dusky salamander carolinian population,Desmognathus ochrophaeus,COSEWIC Status Reports,Endangered,COSEWIC 2007. COSEWIC assessment and update status report on the Allegheny Mountain Dusky Salamander Desmognathus ochrophaeus (Great Lakes/St. Lawrence population and Carolinian population) in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. viii + 32 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=allegheny%20mountain%20dusky%20salamander%20carolinian%20population,8/29/07,2007,0,1,0,Amphibians,5.30E-03,5.30E-03,1,1,0,1,Endangered,ON,4/1/2007,6/5/2003,NA,D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,NA,NA
Caitlin,Hossam,860,431,northern dusky salamander carolinian population,Desmognathus fuscus,COSEWIC Status Reports,Endangered,NA,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20dusky%20salamander%20carolinian%20population,NA,2012,0,1,0,Amphibians,4,4,1,1,0,1,Endangered,ON,5/1/12,6/2/17,List,B1ab(iii)+2ab(iii),D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,THR,NA,NA
